# 西医病症标准化列表（共 1347 条唯一标准病症）
# 格式：标准名称 | 总频次
咽喉恶性肿瘤 | 6
噬血细胞综合征 | 6
套细胞淋巴瘤 | 6
子宫平滑肌瘤 | 6
子宫术后 | 6
心肌病 | 6
急性冠脉综合征 | 6
急性化脓性扁桃体炎 | 6
急性肾衰竭 | 6
恶性胰腺瘤 | 6
放疗后恢复期 | 6
朗格汉斯细胞组织细胞增生症 | 6
梭形细胞肉瘤 | 6
消化道穿孔 | 6
淋巴结炎 | 6
皮下占位性病变 | 6
皮肤淋巴瘤 | 6
神经节神经母细胞瘤 | 6
神经麻痹 | 6
糖尿病伴并发症 | 6
红细胞增多 | 6
细支气管扩张 | 6
结肠恶性肿瘤个人史 | 6
结节病 | 6
肝恶性肿瘤 | 6
肱骨骨折 | 6
肾积水 | 6
胃窦恶性肿瘤 | 6
胆汁淤积症 | 6
胆管继发恶性肿瘤 | 6
脑膜瘤 | 6
脱髓鞘性脑病 | 6
脾功能亢进 | 6
腰椎退行性病变 | 6
腹壁疝 | 6
舌囊肿 | 6
蛛网膜囊肿 | 6
血尿 | 6
血栓性微血管病 | 6
输卵管恶性肿瘤 | 6
过敏性皮炎 | 6
过敏性皮疹 | 6
阵发性房性心动过速 | 6
额窦炎 | 6
高血压脑病 | 6
下消化道出血 | 5
假性动脉瘤 | 5
前列腺原位癌 | 5
剖宫产个人史 | 5
口咽恶性肿瘤 | 5
口腔炎 | 5
呼吸道感染 | 5
咽炎 | 5
嗜睡 | 5
多脏器功能衰竭 | 5
天疱疮 | 5
帕金森病 | 5
带状疱疹后神经痛 | 5
应激性胃炎 | 5
强直性脊柱炎 | 5
心功能III级 | 5
急性尿道炎 | 5
急性牙周炎 | 5
慢性嗜酸性粒细胞白血病 | 5
慢性尿道炎 | 5
慢性白血病 | 5
慢性肾功能不全 | 5
梭形细胞癌 | 5
槭糖尿病 | 5
横纹肌肉瘤 | 5
死亡 | 5
残胃恶性肿瘤 | 5
气胸 | 5
皮下出血 | 5
盆腔占位性病变 | 5
盆腔肿瘤 | 5
直肠黏膜炎 | 5
糖尿病性坏死性筋膜炎 | 5
肠粘连 | 5
胃继发恶性肿瘤 | 5
胆囊腺肌症 | 5
胰头继发恶性肿瘤 | 5
胸膜炎 | 5
脊柱侧弯 | 5
脊髓继发恶性肿瘤 | 5
脑梗死个人史 | 5
脑梗死恢复期 | 5
腰椎压缩性骨折 | 5
腰椎术后 | 5
腰肌劳损 | 5
腰部恶性肿瘤 | 5
药物性肝衰竭 | 5
药物性骨髓抑制 | 5
蝶窦囊肿 | 5
间位结肠 | 5
阴道出血 | 5
青光眼 | 5
频发性室性期前收缩 | 5
食管憩室 | 5
食管胃底静脉曲张破裂出血 | 5
骨盆骨折 | 5
上肢静脉血栓形成 | 4
人类免疫缺陷病毒\病造成的淋巴造血和有关组织的其他恶性肿瘤 | 4
人类免疫缺陷病毒\的实验室证据 | 4
会厌恶性肿瘤 | 4
会阴部恶性肿瘤 | 4
先天性耳聋 | 4
关节积液 | 4
前列腺钙化灶 | 4
化学治疗 | 4
卵巢继发恶性肿瘤 | 4
周围神经病 | 4
唇结节病 | 4
外周T细胞淋巴瘤 | 4
外痔 | 4
多部位淋巴结继发恶性肿瘤 | 4
失眠 | 4
子宫输卵管恶性肿瘤 | 4
室性自搏 | 4
心脏起搏器植入术后状态 | 4
恶性肿瘤术前化疗 | 4
意识障碍 | 4
成人T细胞白血病 | 4
新型冠状病毒肺炎 | 4
桥本甲状腺炎 | 4
椎体继发恶性肿瘤 | 4
椎管狭窄 | 4
气管支架置入术后状态 | 4
淋巴管炎 | 4
牙龈炎 | 4
甲型H1N1流感肺炎 | 4
男性乳腺增生 | 4
瘫痪 | 4
皮疹 | 4
皮肌炎 | 4
直肠癌伴出血 | 4
短暂性脑缺血发作 | 4
神经内分泌肿瘤 | 4
神经性耳鸣 | 4
糖尿病足 | 4
结核性胸膜炎 | 4
结核性腹膜炎 | 4
结节硬化型霍奇金淋巴瘤 | 4
继发恶性肿瘤 | 4
维生素B12缺乏 | 4
肝恶性肿瘤个人史 | 4
肝母细胞瘤 | 4
肺空洞 | 4
肾上腺占位性病变 | 4
肾上腺肿瘤 | 4
肾病综合征 | 4
肾静脉血栓形成 | 4
胃吻合口炎 | 4
胆囊结石伴胆囊炎 | 4
胰头恶性肿瘤 | 4
胸部食管恶性肿瘤 | 4
脑血管狭窄 | 4
脾恶性肿瘤 | 4
腹股沟继发恶性肿瘤 | 4
腹膜炎 | 4
腹部占位性病变 | 4
膀胱结石 | 4
膝关节痛 | 4
臀部恶性肿瘤 | 4
艾滋病 | 4
门静脉血栓形成 | 4
间变大细胞淋巴瘤 | 4
阑尾术后 | 4
阴道恶性肿瘤 | 4
阴道瘘 | 4
鞘膜积液 | 4
颈内静脉血栓形成 | 4
颈椎术后 | 4
颈椎退行性病变 | 4
颈部占位性病变 | 4
颈静脉血栓形成 | 4
食管术后 | 4
骨髓移植术后状态 | 4
高泌乳素血症 | 4
高钠血症 | 4
Ⅱ型呼吸衰竭 | 3
下肢水肿 | 3
乙型肝炎病毒携带者 | 3
低血糖 | 3
先天性心包囊肿 | 3
全身性淋巴结增大 | 3
前列腺术后 | 3
卵巢术后 | 3
口腔黏膜损害 | 3
外阴恶性肿瘤 | 3
头颈部肿瘤 | 3
室性心律失常 | 3
小肠肿瘤 | 3
尿潴留 | 3
带状疱疹性神经痛 | 3
干燥综合征伴肺间质纤维化 | 3
心肌酶谱异常 | 3
心脏瓣膜病 | 3
急性肾功能不全 | 3
急性胃炎 | 3
恶性肿瘤治疗后随诊 | 3
感染 | 3
慢性粒细胞性白血病伴缓解 | 3
慢性肠炎 | 3
慢性萎缩性胃炎 | 3
慢性阑尾炎 | 3
房间隔缺损 | 3
支气管恶性肿瘤 | 3
放射性咽炎 | 3
未分化肉瘤 | 3
梅毒 | 3
法特壶腹恶性肿瘤 | 3
浆细胞骨髓瘤 | 3
混合性酸碱平衡失调 | 3
混合痔 | 3
滑膜肉瘤 | 3
特发性门脉高压 | 3
癔症 | 3
直肠肿瘤 | 3
睡眠障碍 | 3
神经损伤 | 3
窦性停搏 | 3
糖尿病性周围神经病 | 3
糖尿病性肾病 | 3
糖尿病肾病 | 3
继发性糖尿病 | 3
耻骨骨折 | 3
肋间神经痛 | 3
肝动脉栓塞 | 3
肝术后 | 3
肠胀气 | 3
肩关节痛 | 3
肺原位癌 | 3
肺部感染 | 3
肾盂扩张 | 3
胃原位癌 | 3
胃恶性肿瘤 | 3
胃造口状态 | 3
胆管囊肿 | 3
胆管结石 | 3
胆道恶性肿瘤 | 3
胆道感染 | 3
胫骨骨折 | 3
脑疝 | 3
脑白质病 | 3
脑缺血灶 | 3
脾梗死 | 3
腋下淋巴结肿大 | 3
腰椎骨质增生 | 3
腹股沟斜疝 | 3
膀胱炎 | 3
膝关节退行性病变 | 3
自体免疫性脑炎 | 3
自身免疫性脑炎 | 3
贲门继发恶性肿瘤 | 3
贲门肿瘤 | 3
输尿管支架置入术后状态 | 3
输尿管结石 | 3
重症肺炎 | 3
错构瘤病 | 3
颅内继发恶性肿瘤 | 3
颅骨继发恶性肿瘤 | 3
颈部继发性恶性肿瘤 | 3
骨折术后 | 3
骨软骨瘤病 | 3
骶骨继发恶性肿瘤 | 3
鼻息肉 | 3
Ⅱ度子宫脱垂 | 2
Ⅲ度房室传导阻滞 | 2
上腔静脉血栓形成 | 2
上颌窦恶性肿瘤 | 2
下肢动脉粥样硬化 | 2
下肢肿胀 | 2
下肢骨折 | 2
丙型肝炎肝硬化失代偿期 | 2
乳腺良性肿瘤 | 2
人类免疫缺陷病毒\病 | 2
低体温 | 2
低氧血症 | 2
低血容量 | 2
低血糖性昏迷 | 2
侵袭性NK细胞白血病 | 2
全身性疼痛 | 2
全身炎症反应综合征 | 2
冠状动脉缺血 | 2
创伤性脑梗死 | 2
前列腺占位性病变 | 2
动态未定或动态未知的肿瘤 | 2
十二指肠炎 | 2
十二指肠继发恶性肿瘤 | 2
半月板损伤 | 2
卵巢冠恶性肿瘤 | 2
口底恶性肿瘤 | 2
呕血 | 2
呼吸心跳骤停 | 2
喉肿瘤 | 2
嗅神经恶性肿瘤 | 2
嗜酸性粒细胞白血病 | 2
囊腺瘤 | 2
回盲部淋巴瘤 | 2
坠积性肺炎 | 2
声带麻痹 | 2
壶腹部肿瘤 | 2
外阴阴道恶性肿瘤 | 2
多处损伤 | 2
大细胞神经内分泌癌 | 2
头颈部淋巴结继发恶性肿瘤 | 2
