# 知识图谱疾病/病症列表 - 西医（共 1596 条）
# 格式：名称 | 来源 | 频次
单侧腹股沟疝 | admission,discharge | 8
双侧大脑动脉狭窄 | admission,discharge | 8
大细胞髓母细胞瘤 | admission,discharge | 8
头痛 | admission,discharge | 8
女性更年期综合征 | discharge | 8
子宫肿物 | admission,discharge | 8
宫颈术后 | admission,discharge | 8
急性胃肠炎 | admission,discharge | 8
急性髓样白血病 | admission,discharge | 8
恶性肿瘤介入治疗 | admission,discharge | 8
慢性阻塞性肺疾病II级 | admission,discharge | 8
枕骨恶性肿瘤 | admission,discharge | 8
椎间盘突出 | admission,discharge | 8
液气胸 | discharge | 8
白细胞增多 | admission,discharge | 8
直肠乙状结肠交界处肿瘤 | admission,discharge | 8
直肠炎 | admission,discharge | 8
直肠继发恶性肿瘤 | admission,discharge | 8
粒细胞缺乏 | admission,discharge | 8
纵隔肿物 | admission,discharge | 8
肝炎后肝硬化 | admission,discharge | 8
肝门淋巴结继发恶性肿瘤 | admission,discharge | 8
肠系膜继发恶性肿瘤 | admission,discharge | 8
股骨头缺血性坏死 | admission,discharge | 8
股骨骨折 | discharge | 8
肺炎支原体性肺炎 | admission,discharge | 8
肺间质纤维化 | discharge | 8
肾衰竭 | discharge | 8
肾静脉栓塞 | discharge | 8
胰腺肿物 | admission,discharge | 8
胸腺肿瘤 | discharge | 8
脑血管病 | admission,discharge | 8
腰椎继发恶性肿瘤 | admission,discharge | 8
腹膜后淋巴结肿大 | discharge | 8
萎缩性胃炎 | discharge | 8
重型地中海贫血 | admission,discharge | 8
阵发性心房颤动 | admission,discharge | 8
霍奇金病 | admission,discharge | 8
颅内恶性肿瘤 | admission,discharge | 8
颈椎继发恶性肿瘤 | admission,discharge | 8
颈部恶性肿瘤 | admission,discharge | 8
颊粘膜原位癌 | admission,discharge | 8
鼻窦继发恶性肿瘤 | admission,discharge | 8
I型呼吸衰竭 | admission,discharge | 7
乳腺恶性肿瘤，内侧 | admission,discharge | 7
乳腺继发恶性肿瘤 | admission,discharge | 7
凝血功能障碍 | admission,discharge | 7
喉原位癌 | admission,discharge | 7
地中海贫血 | admission,discharge | 7
循环衰竭 | discharge | 7
感染性休克 | admission,discharge | 7
慢性子宫炎 | admission,discharge | 7
慢性病毒性肝炎 | admission,discharge | 7
气管憩室 | discharge | 7
淀粉样变肾损害 | admission,discharge | 7
特发性心房纤颤 | admission,discharge | 7
甲周炎 | admission,discharge | 7
疝 | discharge | 7
直肠息肉 | admission,discharge | 7
直肠术后 | discharge | 7
纵膈肿瘤 | admission | 7
肛周炎 | admission,discharge | 7
肛周脓肿 | discharge | 7
肛瘘 | admission,discharge | 7
肝大 | discharge | 7
肝硬化伴食管静脉曲张 | admission,discharge | 7
肝细胞性黄疸 | admission,discharge | 7
肺动脉高压 | admission,discharge | 7
肺恶性肿瘤(？) | admission | 7
肺栓塞 | admission,discharge | 7
肺门淋巴结继发恶性肿瘤 | discharge | 7
胆囊术后 | discharge | 7
胆囊继发恶性肿瘤 | admission,discharge | 7
脊髓损伤后遗症 | admission,discharge | 7
腰椎病 | admission | 7
腹股沟淋巴结肿大 | admission,discharge | 7
自身免疫性肝炎 | admission,discharge | 7
软组织感染 | admission,discharge | 7
输卵管术后 | discharge | 7
输尿管造口状态 | admission,discharge | 7
重型β型地中海贫血 | admission,discharge | 7
锁骨下静脉血栓形成 | admission | 7
阑尾恶性肿瘤 | admission,discharge | 7
阵发性心房纤颤 | discharge | 7
陈旧性骨折 | admission | 7
霉菌性肺炎 | admission,discharge | 7
非小细胞癌 | admission,discharge | 7
骨髓增生异常综合征-难治性贫血伴原始细胞过多(MDS-RAEB) | admission,discharge | 7
骨髓继发恶性肿瘤 | admission,discharge | 7
高胆红素血症 | admission,discharge | 7
B细胞淋巴瘤 | admission,discharge | 6
T-细胞大颗粒淋巴细胞白血病 | admission,discharge | 6
下肢深静脉血栓形成 | discharge | 6
主动脉瓣关闭不全 | discharge | 6
主动脉钙化 | admission,discharge | 6
传染性单核细胞增多症 | discharge | 6
冠状动脉供血不足 | admission,discharge | 6
副脾 | discharge | 6
包裹性胸腔积液 | discharge | 6
口腔出血 | admission,discharge | 6
咽喉恶性肿瘤 | admission,discharge | 6
噬血细胞综合征 | admission,discharge | 6
套细胞淋巴瘤 | admission,discharge | 6
女性盆腔炎 | discharge | 6
子宫术后 | discharge | 6
心肌梗死恢复期 | admission,discharge | 6
心肌病 | discharge | 6
心脏搭桥术后 | discharge | 6
急性冠脉综合征 | admission,discharge | 6
急性化脓性扁桃体炎 | discharge | 6
急性肾衰竭 | admission,discharge | 6
恶性胰腺瘤 | admission,discharge | 6
慢性心力衰竭 | admission,discharge | 6
放疗后恢复期 | discharge | 6
朗格汉斯细胞组织细胞增生症 | admission,discharge | 6
梭形细胞肉瘤 | admission | 6
浅昏迷 | admission,discharge | 6
消化道穿孔 | admission,discharge | 6
淋巴结炎 | admission,discharge | 6
特发性肾积水 | admission,discharge | 6
疝气类病 | admission | 6
皮下肿物 | admission,discharge | 6
皮肤淋巴瘤 | admission,discharge | 6
神经节神经母细胞瘤 | admission | 6
神经麻痹 | admission,discharge | 6
糖尿病伴有并发症 | admission,discharge | 6
红细胞增多 | admission,discharge | 6
细支气管扩张 | admission,discharge | 6
结肠恶性肿瘤个人史 | admission,discharge | 6
结节病 | admission,discharge | 6
肱骨骨折 | admission,discharge | 6
肿瘤免疫治疗 | discharge | 6
胃窦恶性肿瘤 | admission,discharge | 6
胆管继发恶性肿瘤 | admission,discharge | 6
脑膜瘤 | admission,discharge | 6
脾功能亢进 | discharge | 6
腰椎退行性病变 | admission,discharge | 6
腹壁疝 | admission,discharge | 6
舌囊肿 | admission,discharge | 6
蛛网膜囊肿 | discharge | 6
血栓性微血管病 | discharge | 6
输卵管恶性肿瘤 | admission,discharge | 6
过敏性皮炎 | discharge | 6
过敏性皮疹 | discharge | 6
阵发性房性心动过速 | admission,discharge | 6
降结肠乙状结肠恶性肿瘤 | admission,discharge | 6
额窦炎 | discharge | 6
高血压病1级(极高危) | admission,discharge | 6
高血压病2级(中危) | discharge | 6
高血压脑病 | discharge | 6
上腔静脉梗阻 | discharge | 5
下消化道出血 | discharge | 5
乙型肝炎肝硬化 | discharge | 5
假性动脉瘤 | discharge | 5
前列腺原位癌 | admission,discharge | 5
剖宫产个人史 | discharge | 5
