standard_name	frequency	icd10_code	icd10_name	match_method	match_score
继发性血小板减少	1	D69.502	继发性血小板减少症	子串匹配	88.9
肌腱损伤	1	S56.801	前臂肌腱损伤	子串匹配	66.7
肝结节	1	K76.826	肝结节病	子串匹配	75.0
肝门淋巴结肿大	1	R59.901	淋巴结肿大	子串匹配	71.4
胸内淋巴结继发恶性肿瘤	1	C77.901	淋巴结继发恶性肿瘤	子串匹配	81.8
脑动脉粥样硬化	1	I70.904	动脉粥样硬化	子串匹配	85.7
脾静脉血栓形成	1	I82.902	静脉血栓形成	子串匹配	85.7
腰背肌筋膜炎	1	M60.991	肌筋膜炎	子串匹配	66.7
腹主动脉瘤	1	I71.302	腹主动脉瘤破裂	子串匹配	71.4
膀胱阴道瘘	1	N82.301	直肠膀胱阴道瘘	子串匹配	71.4
膈淋巴结继发恶性肿瘤	1	C77.901	淋巴结继发恶性肿瘤	子串匹配	90.0
软骨良性肿瘤	1	D21.002	耳软骨良性肿瘤	子串匹配	85.7
锁骨上淋巴结肿大	1	R59.901	淋巴结肿大	子串匹配	62.5
锁骨下淋巴结继发恶性肿瘤	1	C77.901	淋巴结继发恶性肿瘤	子串匹配	75.0
锁骨继发恶性肿瘤	1	C79.501	骨继发恶性肿瘤	子串匹配	87.5
陈旧性腰椎骨折	1	T94.103	陈旧性腰椎骨折伴截瘫	子串匹配	70.0
静脉曲张术后	1	I83.903	静脉曲张	子串匹配	66.7
颈椎椎管狭窄	1	M48.091	椎管狭窄	子串匹配	66.7
颈部淋巴水肿	1	I89.004	淋巴水肿	子串匹配	66.7
骨和骨髓继发恶性肿瘤	1	C79.502	骨髓继发恶性肿瘤	子串匹配	80.0
髋关节积液	1	M25.491	关节积液	子串匹配	80.0
肺大疱	764			未匹配	0.0
肝损伤	392			未匹配	0.0
腹腔积液	358			未匹配	0.0
慢性疼痛	282			未匹配	0.0
房性期前收缩	266			未匹配	0.0
腰椎间盘突出	205			未匹配	0.0
肺气肿合并肺大疱	198			未匹配	0.0
甲状腺功能减退症	146			未匹配	0.0
药物性肝损伤	127			未匹配	0.0
室性期前收缩	126			未匹配	0.0
子宫切除术后状态	103			未匹配	0.0
先天性肺大疱	68			未匹配	0.0
末梢神经病	68			未匹配	0.0
阵发性睡眠性血红蛋白尿	43			未匹配	0.0
化疗后恢复期	41			未匹配	0.0
干燥综合征性中枢神经损害	37			未匹配	0.0
认知障碍	37			未匹配	0.0
颈椎间盘突出	35			未匹配	0.0
慢性骨髓增殖性疾病	33			未匹配	0.0
甲状腺功能亢进症	33			未匹配	0.0
宫颈囊肿	31			未匹配	0.0
后循环缺血	30			未匹配	0.0
胃肠道间质瘤	28			未匹配	0.0
肾积水伴输尿管狭窄	26			未匹配	0.0
乳腺术后	25			未匹配	0.0
儿童难治性血细胞减少	25			未匹配	0.0
前列腺肿瘤	23			未匹配	0.0
腹腔肿瘤	23			未匹配	0.0
双侧卵巢切除术后状态	22			未匹配	0.0
带状疱疹后遗症	22			未匹配	0.0
贲门术后	22			未匹配	0.0
骨髓增生异常性/骨髓增殖性肿瘤	22			未匹配	0.0
口腔恶性肿瘤个人史	20			未匹配	0.0
乙型肝炎肝硬化	19			未匹配	0.0
凝血功能异常	19			未匹配	0.0
创伤性腰椎病	19			未匹配	0.0
子宫腺肌病	18			未匹配	0.0
药物性股骨头坏死	18			未匹配	0.0
肿瘤化疗个人史	17			未匹配	0.0
纵隔肿瘤	16			未匹配	0.0
肌肉继发恶性肿瘤	16			未匹配	0.0
肾损伤	16			未匹配	0.0
鼻咽原位癌	16			未匹配	0.0
T淋巴母细胞白血病/淋巴瘤	15			未匹配	0.0
肝性脑病	15			未匹配	0.0
鼻出血	15			未匹配	0.0
放射性食管炎	14			未匹配	0.0
烟雾病	14			未匹配	0.0
肝内胆管癌	14			未匹配	0.0
肾积水伴肾结石	14			未匹配	0.0
冠状动脉支架植入术后状态	13			未匹配	0.0
口腔肿瘤	13			未匹配	0.0
疝	13			未匹配	0.0
直肠占位性病变	13			未匹配	0.0
精神病个人史	13			未匹配	0.0
结肠占位性病变	13			未匹配	0.0
中枢神经系统白血病	12			未匹配	0.0
乙型肝炎后肝硬化失代偿期	12			未匹配	0.0
咳嗽变异性哮喘	12			未匹配	0.0
恶性肿瘤化学治疗后恢复期	12			未匹配	0.0
拒绝医疗后离院	12			未匹配	0.0
肾炎	12			未匹配	0.0
子宫腔积液	11			未匹配	0.0
胃食管反流病	11			未匹配	0.0
门静脉瘤栓	11			未匹配	0.0
颈淋巴瘤	11			未匹配	0.0
劳力性心绞痛	10			未匹配	0.0
复杂性尿路感染	10			未匹配	0.0
子宫囊肿	10			未匹配	0.0
脑出血个人史	10			未匹配	0.0
脑梗死后遗症	10			未匹配	0.0
输尿管造口状态	10			未匹配	0.0
丙型肝炎肝硬化	9			未匹配	0.0
吞咽困难	9			未匹配	0.0
癫痫持续状态	9			未匹配	0.0
胃穿孔	9			未匹配	0.0
胸膜肥厚	9			未匹配	0.0
腹壁占位性病变	9			未匹配	0.0
B细胞淋巴瘤	8			未匹配	0.0
丙型肝炎病毒携带者	8			未匹配	0.0
子宫肿物	8			未匹配	0.0
宫颈术后	8			未匹配	0.0
恶性肿瘤介入治疗	8			未匹配	0.0
椎间盘突出	8			未匹配	0.0
直肠乙状结肠交界处肿瘤	8			未匹配	0.0
纵隔占位性病变	8			未匹配	0.0
肝炎后肝硬化	8			未匹配	0.0
胸腺肿瘤	8			未匹配	0.0
颊黏膜原位癌	8			未匹配	0.0
冠状动脉旁路移植术后状态	7			未匹配	0.0
凝血功能障碍	7			未匹配	0.0
口腔溃疡	7			未匹配	0.0
气管憩室	7			未匹配	0.0
淀粉样变肾损害	7			未匹配	0.0
直肠术后	7			未匹配	0.0
真菌性肺炎	7			未匹配	0.0
纵膈肿瘤	7			未匹配	0.0
肛周炎	7			未匹配	0.0
胆囊术后	7			未匹配	0.0
脊髓损伤后遗症	7			未匹配	0.0
腰椎病	7			未匹配	0.0
输卵管术后	7			未匹配	0.0
陈旧性骨折	7			未匹配	0.0
骨髓增生异常综合征-难治性贫血伴原始细胞过多	7			未匹配	0.0
T细胞大颗粒淋巴细胞白血病	6			未匹配	0.0
卵巢占位性病变	6			未匹配	0.0
口腔出血	6			未匹配	0.0
噬血细胞综合征	6			未匹配	0.0
子宫术后	6			未匹配	0.0
急性冠脉综合征	6			未匹配	0.0
急性肾衰竭	6			未匹配	0.0
恶性胰腺瘤	6			未匹配	0.0
放疗后恢复期	6			未匹配	0.0
梭形细胞肉瘤	6			未匹配	0.0
皮下占位性病变	6			未匹配	0.0
皮肤淋巴瘤	6			未匹配	0.0
糖尿病伴并发症	6			未匹配	0.0
胆汁淤积症	6			未匹配	0.0
脾功能亢进	6			未匹配	0.0
腹壁疝	6			未匹配	0.0
剖宫产个人史	5			未匹配	0.0
口腔炎	5			未匹配	0.0
嗜睡	5			未匹配	0.0
多脏器功能衰竭	5			未匹配	0.0
心功能III级	5			未匹配	0.0
急性尿道炎	5			未匹配	0.0
慢性尿道炎	5			未匹配	0.0
慢性白血病	5			未匹配	0.0
皮下出血	5			未匹配	0.0
盆腔肿瘤	5			未匹配	0.0
直肠黏膜炎	5			未匹配	0.0
糖尿病性坏死性筋膜炎	5			未匹配	0.0
脊柱侧弯	5			未匹配	0.0
脑梗死个人史	5			未匹配	0.0
脑梗死恢复期	5			未匹配	0.0
腰椎术后	5			未匹配	0.0
药物性肝衰竭	5			未匹配	0.0
间位结肠	5			未匹配	0.0
人类免疫缺陷病毒\病造成的淋巴造血和有关组织的其他恶性肿瘤	4			未匹配	0.0
人类免疫缺陷病毒\的实验室证据	4			未匹配	0.0
先天性耳聋	4			未匹配	0.0
化学治疗	4			未匹配	0.0
外周T细胞淋巴瘤	4			未匹配	0.0
心脏起搏器植入术后状态	4			未匹配	0.0
恶性肿瘤术前化疗	4			未匹配	0.0
意识障碍	4			未匹配	0.0
成人T细胞白血病	4			未匹配	0.0
新型冠状病毒肺炎	4			未匹配	0.0
气管支架置入术后状态	4			未匹配	0.0
牙龈炎	4			未匹配	0.0
甲型H1N1流感肺炎	4			未匹配	0.0
直肠癌伴出血	4			未匹配	0.0
神经内分泌肿瘤	4			未匹配	0.0
神经性耳鸣	4			未匹配	0.0
结节硬化型霍奇金淋巴瘤	4			未匹配	0.0
肾上腺肿瘤	4			未匹配	0.0
脑血管狭窄	4			未匹配	0.0
腹部占位性病变	4			未匹配	0.0
间变大细胞淋巴瘤	4			未匹配	0.0
阑尾术后	4			未匹配	0.0
颈椎术后	4			未匹配	0.0
食管术后	4			未匹配	0.0
乙型肝炎病毒携带者	3			未匹配	0.0
先天性心包囊肿	3			未匹配	0.0
全身性淋巴结增大	3			未匹配	0.0
前列腺术后	3			未匹配	0.0
卵巢术后	3			未匹配	0.0
口腔黏膜损害	3			未匹配	0.0
头颈部肿瘤	3			未匹配	0.0
小肠肿瘤	3			未匹配	0.0
带状疱疹性神经痛	3			未匹配	0.0
干燥综合征伴肺间质纤维化	3			未匹配	0.0
恶性肿瘤治疗后随诊	3			未匹配	0.0
放射性咽炎	3			未匹配	0.0
未分化肉瘤	3			未匹配	0.0
直肠肿瘤	3			未匹配	0.0
肝术后	3			未匹配	0.0
肠胀气	3			未匹配	0.0
胃造口状态	3			未匹配	0.0
脑缺血灶	3			未匹配	0.0
脾梗死	3			未匹配	0.0
膝关节退行性病变	3			未匹配	0.0
自体免疫性脑炎	3			未匹配	0.0
贲门肿瘤	3			未匹配	0.0
输尿管支架置入术后状态	3			未匹配	0.0
错构瘤病	3			未匹配	0.0
骨折术后	3			未匹配	0.0
下肢肿胀	2			未匹配	0.0
下肢骨折	2			未匹配	0.0
人类免疫缺陷病毒\病	2			未匹配	0.0
